Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
140,-1.207941,-2.112918,-0.042721,2.07352,0.259272,0.367615,-0.529905,0.101406,-0.632142,0.019553,1.962406,-1.024418,1.07714,0.483831,1.211722,0.342193,-0.884801,-0.476917,-0.822745,0.189352,-0.271946,0.603387,-0.264241,-1.416982,0.902633,-1.391753,0.930369,-1.683431,249.08,0
150,-0.349048,0.316887,-1.380435,0.320137,1.731505,0.223133,-0.941908,-0.415139,0.214818,-0.086413,0.312817,-0.220588,-1.266019,0.481585,-0.230533,0.21718,-0.815692,-0.106184,0.895818,-1.563281,0.150515,0.348175,-0.530858,-0.526901,-0.529874,0.644489,1.447181,0.689562,96.33,0
160,-0.451246,1.042109,0.931186,0.166106,-1.288821,1.543803,-2.184052,1.13486,0.89947,0.283935,1.469985,-1.141914,0.551762,0.231517,0.21181,-0.633156,-1.367212,-0.888347,0.242917,-0.065049,1.061189,0.95848,-0.957396,-0.738924,0.115914,0.66485,0.851566,-0.93422,459.27,0
170,0.264733,-1.071501,-1.849197,-1.039234,0.484049,-0.961389,1.039082,0.042131,-1.089184,1.073984,0.083068,0.385151,-1.995863,0.66448,-0.010174,0.180833,-0.052116,0.350227,-1.679417,1.725379,1.885455,-0.722461,1.862535,-1.533586,0.064708,-0.943109,0.290456,-0.166869,389.67,0
180,1.55739,-1.066582,-1.272499,0.344952,0.785948,-1.332732,-0.573614,0.86872,-0.231768,0.48911,0.490053,1.039533,0.663199,-0.085054,-0.617846,1.155639,0.145216,0.285994,0.611679,-0.221936,-0.719178,1.203553,0.732518,-2.104595,-1.195938,1.196688,0.690547,-0.598029,6.11,0
190,-0.792702,-0.739781,0.469297,0.691421,-1.178983,1.784879,0.337047,0.756588,2.050022,0.013627,0.023294,0.088099,0.561167,0.226576,-0.471738,-0.152034,1.617763,-0.811041,-1.560097,0.577819,0.099492,0.03227,0.486376,-1.96278,-0.081361,-1.393455,0.281817,0.351412,298.96,0
200,0.357014,-0.968175,0.703802,0.973114,1.017861,0.560206,0.555876,0.514579,0.128367,-0.253964,-1.709244,-0.73182,1.320828,-0.512043,-0.096107,-0.183541,-0.527565,-1.086167,2.27539,-2.861574,0.954156,1.037757,2.258837,-0.007211,-0.119167,0.763519,1.409624,1.060702,246.76,0
210,-0.020298,1.3315,-1.990319,-0.977432,-0.958119,1.440185,-0.073773,0.417893,-0.572789,-0.210779,0.573454,-0.093322,0.415433,0.097091,-0.114846,1.863445,-1.019524,0.898524,-0.370143,-0.71008,0.156331,-0.324445,0.316953,0.383653,-0.116867,-0.003923,-0.197977,1.221103,95.83,0
220,-0.160305,-0.033133,0.098926,1.619099,0.839595,0.772816,-1.90414,-0.660155,0.40198,-0.416948,0.506541,1.007525,-0.994196,-0.800783,-0.746779,-0.235813,0.937267,-0.837306,0.978227,0.527668,0.519002,-0.506391,-1.187124,-1.912183,1.251286,0.547039,0.706502,0.236248,96.6,0
230,2.787066,-4.424184,1.5297,0.818756,-0.262156,-1.028959,-0.350769,0.97253,1.532786,1.385538,-0.423124,-1.701402,0.909384,0.488814,-1.05673,-0.626484,1.150032,1.742631,1.21247,-1.321428,0.553203,-1.139426,0.343735,0.023411,0.154968,0.77277,-0.745763,0.58005,1342.74,1
240,0.121737,-1.571767,-0.143757,1.358325,-0.168134,1.461559,1.061614,-0.428873,1.231233,0.624406,-1.399,0.141305,1.162482,0.528317,3.083111,-0.172543,1.43366,0.414727,-1.160938,1.837825,-0.845454,-0.52003,-0.505689,1.28133,-0.382659,1.267274,1.559883,-0.123313,162.28,0
250,1.784576,-2.628598,-0.46779,0.695929,-0.529646,-2.027148,-1.023787,0.053568,-1.0121,-0.014941,-0.158464,-0.641769,0.094452,-1.571131,-0.376564,-0.692126,-0.118983,0.403168,0.421996,0.616326,-1.398452,-1.409321,-1.080263,-1.54865,2.173687,-0.315622,0.344037,0.995975,1991.67,1
260,-0.189932,-0.247202,-0.67118,-0.135597,-0.491352,-2.135211,-1.214935,-0.444526,0.144818,-0.02703,1.856978,0.763526,-1.222063,0.047119,-1.039651,1.197065,0.26625,-0.380445,-0.309932,-0.011019,-0.560251,-1.501689,-0.589556,1.88577,-0.371571,-0.162204,-0.918368,0.402098,382.19,0
270,-0.55536,1.403181,0.245233,0.072454,-1.593282,-0.088381,0.688661,1.223827,-0.18414,0.375911,0.783267,0.031112,0.24475,-0.485244,0.324595,0.353783,-0.711887,-2.112913,1.142169,0.020447,0.506925,-1.526453,0.6646,-1.755077,0.060034,2.036191,0.314725,0.701005,255.83,0
280,-1.334205,0.724435,0.300384,-0.96352,-0.526942,0.916516,-0.4926,-1.143609,-1.005647,1.514416,-1.821696,-0.561597,-1.422973,0.426335,-0.120798,1.088733,-2.288242,-2.031741,-1.159486,-1.577415,0.596835,-0.376107,-0.811675,0.203558,-0.220729,0.215876,0.228473,0.949287,206.45,0
290,-0.31241,-0.37667,1.676988,-0.494263,-0.366765,-0.459021,0.064886,0.422988,0.551281,1.13714,0.014227,-1.028365,-0.302111,0.375853,0.988054,-1.284809,0.299211,-0.340459,-0.585662,0.530602,-0.458269,0.474982,-0.870341,1.738819,0.031775,-0.834924,-0.479609,-1.617904,211.33,0
300,-0.657877,-0.530007,-1.107162,1.009463,0.028132,0.342148,-0.907528,1.81467,-3.812634,0.673938,-0.526069,-0.209529,0.855695,0.006716,0.798989,-1.046257,-0.35256,0.118939,-0.605667,-0.035116,-0.55915,-0.434856,0.313218,0.724002,0.9964,1.499171,1.355183,1.010675,173.05,0
310,-0.519376,-0.039837,-0.044315,-0.109931,0.322296,-2.380683,0.970995,0.037336,1.064602,0.552969,-2.938466,-0.138686,1.066576,0.315944,-0.706729,1.569781,0.467245,0.406914,-0.808641,-0.491598,1.336173,1.957593,-0.290162,-0.613409,1.316724,0.844147,-1.468234,-1.106282,65.63,0
320,-0.110638,0.294192,1.706235,0.307882,-0.31442,0.162903,1.72433,0.845989,-0.586303,0.260217,0.803315,-1.240916,-1.62712,-0.484649,0.949402,-0.003018,-1.806329,1.864582,-1.007059,0.827931,0.067256,0.071817,1.469263,-1.295065,-0.628379,-0.33072,0.695763,1.160747,94.41,0
330,0.240908,0.41729,1.25224,-0.579495,-0.356954,0.762815,-0.680316,0.181834,-0.462116,-0.858744,-2.089508,-0.728128,-1.202921,0.232959,-0.451632,-1.178722,0.126414,-0.297869,-0.026345,0.27664,0.64716,-1.497762,-0.389358,-0.970299,-0.170224,-0.575638,-0.852003,0.488251,237.17,0
340,1.606853,-0.898769,0.449855,-1.511475,-1.265789,-0.76059,-1.533308,0.414962,-0.738978,-0.585504,0.225442,0.268243,0.095522,-2.518212,-0.310171,1.226938,-0.566148,0.241047,-0.089845,1.081662,-0.563601,-0.948767,-0.071867,1.119536,-0.218289,1.326319,1.457389,0.661208,316.15,0
350,-0.95367,0.69867,0.016785,-0.711111,0.173402,-0.524563,0.277132,-0.33602,0.312632,-1.08059,-2.258093,1.02984,0.374597,0.355535,-0.878637,-1.377877,-0.374541,-1.38801,0.60113,0.369156,-0.769845,0.207585,0.226635,-0.791431,-1.708506,0.261581,-0.270495,-0.451123,311.74,0
360,1.272311,-2.813194,1.429854,-1.38122,-0.225391,-0.164352,-1.008381,-2.026575,1.560404,-1.699904,-0.066667,-1.897502,-0.185157,-0.800598,0.483543,-1.7136,0.19807,0.469063,-0.373239,-1.638914,0.153197,1.11506,0.609112,0.410862,2.160315,0.575575,-0.075982,-0.382564,1756.69,1
370,-0.977822,-0.52146,-0.111703,1.189602,-0.868854,-0.322771,-0.574902,0.528334,0.82663,-1.219106,-0.213989,-0.611806,-0.447215,-0.772525,1.525748,0.576468,0.025857,-0.168012,0.316529,0.810155,-0.117155,1.603752,-0.133644,-0.354182,-0.48039,0.709569,0.535808,-1.657669,27.3,0
380,0.167205,-0.576256,1.11679,1.723025,-0.301226,-2.279402,-2.928602,-0.76621,0.828996,-0.894026,0.902245,-1.214246,-1.287492,0.525101,1.018543,0.435245,-2.414835,-0.25369,0.593942,-0.982734,0.137077,-0.106097,-1.250528,-0.481809,0.580188,1.692666,-0.263764,1.934098,65.74,0
390,0.383942,-0.798717,-0.014001,-0.111717,-0.564841,0.0827,0.838751,0.171451,-0.164791,-0.712415,0.43268,0.553382,-0.277376,-1.010634,0.747811,-0.597677,1.473503,0.577102,-0.273664,-1.093097,-1.340856,-0.222262,1.347085,-0.547527,-0.777988,-1.122539,0.657201,0.463511,181.58,0
400,1.707153,-3.061674,-2.646884,-0.513356,2.799407,-1.404737,-0.478966,0.881579,-1.31007,1.177439,1.420327,1.651862,-0.533432,-0.62761,-0.168909,0.381346,0.592172,2.428736,0.788775,-0.197204,-0.043547,-0.708896,-1.675144,-1.674696,-0.590093,0.144809,-0.997028,-0.72219,417.32,1
410,-0.693234,-0.597875,1.298167,0.308177,-1.03621,1.235017,0.703349,0.786497,-1.092768,-1.059736,-1.519664,-0.456597,-0.311971,-0.39705,0.705819,-0.608695,-0.702921,0.587805,0.90788,0.303521,1.34295,-0.55822,0.689541,-0.888726,-0.951851,0.450921,-0.149236,1.046601,43.85,0
420,-0.928666,1.226982,0.580095,-0.988966,-1.245376,-0.528103,-0.670899,1.552788,-1.150934,-0.378963,0.025834,0.659128,0.206263,1.232202,-0.113064,0.801178,0.394825,0.552056,0.62571,1.733041,-0.758842,-2.389722,0.589455,0.579389,-1.615664,-0.200307,-0.507177,0.994688,354.55,0
430,-0.559755,-0.653561,1.444611,-0.130318,-0.697249,1.464259,1.136046,0.188186,0.350972,-1.00562,-0.725736,0.600947,-0.014958,0.267666,-0.178566,-1.359201,-1.006655,-0.591228,0.049876,0.539977,1.084607,0.547848,0.913824,-0.776897,-0.341423,1.526324,0.631957,0.272748,390.86,0
440,0.396768,1.39463,-0.547261,-0.649317,-1.088857,1.131668,-1.085313,-1.628896,-0.305262,-0.730938,-0.861352,-0.130601,1.011778,-0.410202,0.537347,0.480216,0.240241,-0.609762,-0.327431,-1.655812,-0.678666,-0.603727,1.710382,-1.182557,-0.259616,0.564339,-1.27164,-2.921546,39.29,0
450,-0.208804,1.052135,1.645549,-0.135682,1.165714,-0.181343,0.853748,1.417868,-0.407364,-1.078889,0.939378,0.845695,-0.955424,1.686525,-0.859994,1.798425,0.641704,0.041861,0.745943,-0.350615,1.249289,-0.614866,-0.209762,2.090163,-0.999231,0.851606,-0.322939,-0.726481,330.02,0
460,-1.926249,0.392814,1.46601,-0.270543,1.097373,1.468383,0.832952,-0.506501,-0.57831,-2.465268,0.071188,0.481713,-1.114504,1.131758,-2.002055,-0.600733,0.408544,0.594672,2.134032,1.135878,1.494757,0.97862,-2.548807,-0.191218,0.546299,-1.181711,0.51447,-0.597964,458.33,0
470,3.793847,-1.669772,1.7354,-0.287282,0.119935,0.802219,-0.192722,-0.651468,0.674871,-1.340163,-0.30662,0.225786,0.117187,1.496796,0.435953,0.804643,-1.530838,0.873396,0.599409,0.659789,0.290799,-0.802811,-1.261844,0.586427,1.708505,0.82741,0.280908,-0.844047,1994.89,1
480,2.025628,-0.402369,1.777075,-0.827113,-1.212513,0.5565,-0.221145,-0.495732,0.85369,0.19427,-1.06742,-2.048101,0.433413,0.287435,0.573217,0.782555,0.452813,-0.455488,-0.556651,1.069469,1.321125,1.305307,1.409483,-1.482521,-1.044102,-1.458244,0.10199,-1.030419,459.27,0
490,1.763988,-3.453246,-0.599535,-0.421707,0.585512,-0.359816,0.334684,-0.01673,-0.573984,1.84116,1.396615,-0.525865,-0.607102,-2.14013,-0.154517,1.509534,-0.063898,-0.544717,-0.673975,-1.721553,1.498016,0.047234,0.355409,-3.201755,-0.860728,1.341658,1.59178,-1.207488,710.05,1
500,0.539778,-0.068375,0.989389,-0.775562,-1.637288,1.625704,0.36743,0.333055,0.013655,0.69011,-1.972946,0.322887,-0.211377,0.07362,-0.402792,2.133359,-0.668475,1.214109,1.326928,0.004148,-1.156033,0.24529,1.809654,1.21139,-0.281931,0.863806,-0.918629,-0.279332,493.07,0
510,-1.166834,0.02818,-2.016694,0.443674,-1.840085,-1.614932,-0.313066,0.062851,-0.165551,1.758704,1.22795,3.007418,-0.629815,0.280771,-0.25907,-0.022977,0.060069,-0.714714,-1.297436,0.266949,0.476337,0.786291,-0.74045,0.612512,-0.720279,-1.320878,0.718987,-0.313846,127.45,0
520,2.317503,-2.765625,1.084501,-0.23606,-1.139968,-1.162575,1.341573,1.399402,1.204198,1.250587,-1.103773,1.53898,-0.482595,-0.73056,1.606208,-0.748817,-0.373236,-0.47665,0.172352,-1.378709,-0.603974,0.661325,-1.455943,0.423547,0.849014,1.255743,3.02024,-1.027995,1195.94,1
530,-1.269097,-0.741218,-0.305217,0.429224,0.411855,0.424696,1.050854,-1.147529,-0.997171,0.901477,0.145272,-0.692426,-1.367627,1.139447,0.716151,-0.192138,-0.050641,-0.827663,0.061785,0.014663,-0.166244,-1.056548,-1.685581,0.860481,0.101741,-0.32953,-2.324767,0.504042,312.87,0
540,-0.839576,-1.00086,1.003895,0.395524,-0.761114,-0.421777,1.184141,1.085596,-2.027603,1.866861,-1.030521,-1.114398,-0.606885,0.834424,-1.909888,-1.964709,0.320421,1.103217,1.358339,-0.524152,-0.482572,1.034166,-0.890654,0.342482,1.643255,-0.709405,-0.989227,0.58901,397.2,0
550,4.009261,-3.672723,0.714382,-0.667879,-0.393892,-0.284614,0.581649,-0.763236,0.691302,-0.38214,-0.537455,-0.025279,0.628651,0.98213,1.596386,-0.235658,0.523676,-0.24961,-0.63354,0.485037,0.014894,-0.404458,-0.332692,-0.704108,0.084276,-0.458741,0.718879,0.708158,416.37,1
560,-0.018984,-0.71671,-0.006098,-0.420179,-0.768635,-1.774747,0.904981,1.349997,-2.23444,1.362553,0.543524,0.390262,-0.38107,-1.279856,1.567393,-0.377739,-0.78166,0.009959,1.080066,-0.335487,0.018849,0.0892,1.109163,1.321122,-0.077626,-0.124085,-0.330305,-0.329825,379.29,0
570,-0.181342,-0.015307,-0.212956,0.400594,0.787925,-0.292491,-1.639264,0.188506,-1.433355,-1.182815,-1.133925,0.383174,0.223147,1.155257,-1.084633,0.039713,-2.093235,0.793428,0.285255,-0.944015,0.113974,-0.658422,0.362569,-0.916563,0.601135,-0.135847,-0.412165,0.722553,280.18,0
580,0.253033,-3.39067,-1.606327,-1.139371,1.874784,0.201514,-0.55177,-1.02625,-1.926073,-1.091854,0.330641,-0.38612,-2.431381,-0.442668,1.718433,-1.97681,-0.663478,0.434771,0.0002,-0.616511,1.639945,-0.615302,1.420168,0.758392,0.122878,-1.191928,-1.170815,0.011122,121.4,0
590,2.682125,-3.68201,0.215079,0.630992,1.095969,0.376868,0.925582,-2.240056,-0.689991,0.994739,2.221324,0.575277,-0.696547,-0.437015,0.012687,-0.398101,-0.233032,-0.272382,1.148484,0.314946,0.329801,-1.698612,-0.597047,0.801988,-0.848896,0.48484,-1.321079,-1.260372,544.17,1
600,0.620441,-1.519262,0.581068,1.33677,0.289617,-0.225605,-1.361428,0.471784,-3.342246,-0.569469,0.017225,-0.25499,0.628589,-1.926064,0.28215,0.029899,-0.539855,-0.2681,-2.294631,-0.164935,-0.852973,-0.239062,-1.079908,0.427433,0.597696,1.1959,-0.23239,-0.787977,262.29,0
610,0.260916,0.764061,0.739453,1.065361,-0.171874,-0.004142,-1.673865,0.284518,0.474153,1.390108,-0.38058,1.315417,-0.806215,0.768617,-0.26017,-0.824017,0.214321,-0.053812,-0.732153,0.783148,0.713351,-0.166718,0.442629,-0.219321,-0.703262,0.424833,1.995423,0.353801,249.59,0
620,-0.551783,0.525048,-0.002101,-0.318403,-0.665872,0.289909,1.725876,1.463828,-0.73626,1.026584,-0.287636,-1.177529,1.265066,0.895043,0.67148,-0.726366,-0.451862,1.377595,-0.645341,-0.93628,3.315117,0.542924,0.242707,0.537998,-1.200697,0.024264,-0.049654,0.915584,453.04,0
630,0.008536,-0.05051,-0.215949,0.59405,2.157003,0.023241,0.953715,-1.0582,0.650941,0.377772,-0.649794,0.099825,1.042684,-0.198258,0.475944,-0.309826,-0.807173,0.252693,-1.030348,-0.237435,0.417527,-1.040101,0.605955,-0.097221,0.907576,-0.33923,2.347829,-0.168533,475.9,0
640,2.291103,0.432879,0.914329,-1.294941,-0.588199,0.850681,-0.878787,-1.351458,0.110087,-1.620743,-0.690869,0.264223,1.298012,0.61081,-0.767428,-0.021829,-1.133222,2.180582,0.877866,0.525994,-2.072114,-0.644659,-0.137664,1.84481,-2.07289,-1.894133,-0.331963,-1.20026,499.96,0
650,-1.10481,0.714717,-1.808226,1.028701,-1.429592,-0.835158,-0.476613,0.310087,1.174298,-0.27039,1.128733,0.395426,-1.447141,0.914043,-0.733478,2.211455,-1.502679,1.598668,0.064912,-0.248626,2.127421,0.203485,-0.949588,-0.626108,-0.310686,0.281763,0.764395,-0.055625,105.76,0
660,-0.018593,-1.222927,0.209788,0.202862,-0.22233,-1.524681,1.769212,-0.930587,0.391625,0.934401,0.718197,0.666334,-0.038671,-0.22767,-0.99375,0.122018,-0.429674,0.769473,-0.951995,0.498517,1.804518,0.048191,-0.37968,-0.37567,2.171656,1.09871,-1.993227,0.514988,498.26,0
670,0.356782,2.169662,-0.247011,0.270902,1.435999,1.215043,-0.910444,-0.621326,0.91927,-0.113992,-1.34196,0.827362,0.261668,0.308261,-1.315873,-0.610307,0.08167,2.227336,1.048969,-0.843081,0.380495,-1.852304,0.513164,-0.877366,0.747307,-0.676239,-1.034989,-2.339937,332.31,0
680,-2.307175,-0.922838,0.702478,0.976978,0.174289,0.280276,-0.617051,2.045437,0.73206,1.538735,-0.767329,-0.205761,0.310776,0.853892,-0.802271,0.498456,-0.159654,-1.438627,0.685159,-0.435079,-0.451684,0.496448,0.887316,-0.301332,0.108854,-0.687197,0.393946,-1.859151,352.35,0
690,0.794526,-1.323813,0.309862,0.126797,-2.559783,-0.5784,0.376054,0.025728,0.2508,2.125226,-0.430882,0.891116,-0.931488,-0.296435,0.691782,0.047887,0.91172,-0.179974,-1.047848,0.14679,0.221797,-1.01091,-0.524571,-0.047804,-0.751327,-0.352065,0.246315,-0.364395,482.6,0
700,-0.586019,1.087361,0.527068,0.001165,0.773864,0.468845,-1.003899,0.33427,0.899178,-1.784219,0.135691,-0.535449,-0.3223,-0.242492,1.280156,0.257282,0.042305,0.572422,-0.599018,2.32541,-0.450295,0.877719,-1.056417,-1.073726,1.721067,0.935603,-1.134438,0.175186,214.45,0
710,-0.639404,1.01078,-1.472789,0.188637,0.773618,-0.445005,0.489354,-1.056325,0.933743,1.2619,1.229746,-0.105495,-0.227902,0.126834,1.002408,1.046422,0.443329,0.013781,-0.326569,0.730862,2.926387,-0.754966,-1.184627,0.124102,1.107042,-0.115482,3.245128,1.087545,88.1,0
720,-1.321842,1.91086,-0.06431,0.736135,0.425804,-0.560344,-0.279758,0.493075,-0.271951,-0.231475,1.315235,0.899211,1.04547,-0.163013,-0.942424,-0.517041,-0.174588,-0.338095,-0.111539,-0.967169,1.938299,0.11429,-1.325436,-0.233309,-1.884778,-0.488037,-0.976743,1.385579,450.15,0
730,1.048251,0.543071,-0.460381,1.502386,-0.647659,0.586569,-0.518959,0.045982,0.480411,-0.587142,0.569904,-0.766385,-0.521213,0.683653,-0.34305,-1.180832,1.044202,0.289143,1.141743,-2.306058,-0.668748,1.917923,-1.146727,-1.422603,-0.889303,-1.423021,-1.412547,-0.56028,136.2,0
740,3.331425,-3.654553,0.046264,0.104373,0.461302,-1.675406,0.107705,0.561173,-0.176391,-0.816388,-0.52096,-1.521151,-0.800265,-0.268376,1.437108,0.801188,-0.364159,1.469721,0.062455,-0.365092,-0.646072,-0.947923,-0.389767,-0.247742,-0.313041,1.232538,-0.201134,-0.036512,1457.35,1
750,0.964948,0.512052,-0.716761,0.724384,0.912436,-1.074583,0.81256,1.651945,0.618016,0.704095,-0.192079,-0.180458,2.891924,-0.582734,0.963569,0.29225,-1.027077,0.297087,0.621377,1.130309,0.848386,1.020917,0.94363,0.276717,-1.243825,-0.853712,-1.017425,0.965587,0.67,0
760,0.819898,2.188244,-1.656178,0.733308,0.625859,-0.77197,1.69719,-0.80637,2.497102,-1.050529,-0.774604,-1.480611,0.786146,-0.051562,0.314418,-0.09572,0.013213,1.416901,-1.196777,0.307799,0.078643,-1.151434,1.664031,0.450672,2.190779,0.083965,0.435965,-0.848959,167.85,0
770,-0.58612,1.002504,-0.270661,-0.505011,0.040423,-0.496796,0.598942,-0.341781,0.031359,-0.642846,0.711689,1.523874,-0.903441,-0.874309,-0.795014,0.897765,-0.450182,-1.488786,-2.205175,-1.174778,-0.242373,0.104671,0.693325,1.404592,-1.211955,-0.643306,-1.169554,-0.663965,233.29,0
780,-0.148565,2.078078,-0.231078,-0.480737,-0.489952,0.284334,1.172197,0.211565,-1.321021,0.70697,-0.186121,-1.190055,-0.524558,0.455283,-0.484547,0.743045,-0.870029,0.449543,0.669345,2.632429,-0.719273,1.109927,-0.977824,-1.66683,-0.113976,-0.205246,2.758772,-0.288317,431.17,0
790,-0.162133,0.036938,-0.421759,-0.537069,0.570938,0.52909,-0.829764,0.714868,-0.454207,-0.216913,-0.466781,0.237384,0.264948,-1.800649,-0.65243,0.270124,0.164204,0.362668,0.817305,-1.123401,0.363265,1.172935,-0.342029,0.175711,-0.715629,-1.55003,-0.059759,0.239975,13.11,0
800,0.783825,-0.187339,0.246729,-1.331724,0.536027,-0.066841,0.332813,0.796337,-0.909241,1.40177,0.151322,2.541807,-1.15931,-1.057421,0.103813,-1.293387,1.676914,-0.61022,-0.635699,-1.350994,1.512456,-1.327809,-0.638622,1.152492,1.852772,0.453031,-0.034377,-0.355323,318.66,0
810,0.082852,-1.297837,-0.13025,-1.120375,0.467296,0.25905,-1.788327,1.886591,-2.121557,0.420232,0.725053,-1.112897,-0.700126,0.288675,-0.292651,-1.230106,0.235018,-0.01249,-0.83952,-0.563301,-0.574073,-1.096294,-1.457266,-0.998769,0.526162,-0.271792,-0.877256,-0.714217,160.51,0
820,-0.481839,0.912116,-0.394081,2.736618,-0.920397,0.795832,0.186728,0.432666,1.503094,-1.062452,2.026622,-1.748465,-0.040271,0.153434,-1.180114,0.933338,-0.124146,0.883265,-1.267302,1.722483,0.035464,-0.235688,0.179173,-0.397115,-1.169794,-1.323806,-0.060085,-0.672926,320.58,0
830,-1.36875,-1.567388,0.886885,0.473312,1.735039,-0.915041,-0.170562,1.399026,-1.017083,-1.279114,0.090516,-0.27281,0.512761,-0.183395,-0.012172,-2.09583,-0.813915,-0.998081,-0.723875,-0.439789,0.443464,0.71126,0.321653,-0.828282,-0.798596,0.793759,0.718383,0.570882,456.0,0
840,-0.124912,-0.302644,-0.720187,1.027047,-2.297791,-1.993582,0.060832,-0.765153,-1.444807,-1.107465,0.897786,0.454741,0.337981,1.119076,-1.102467,-0.14692,-0.505338,-0.008808,-0.607471,0.138035,-0.023633,-0.388747,0.259692,-0.611498,0.695279,-2.083622,0.548272,-1.026044,158.71,0
